dataset,pred_len,variant,C,K,shared_adaptive_jaccard,batch_size,new_trainable_params,checkpoint_fidelity_abs_diff,base_val_full_mse,base_test_full_mse,base_test_full_mae,base_test_endpoint_mse,base_test_endpoint_mae,best_val_full_mse,best_epoch,test_full_mse,test_full_mae,test_endpoint_mse,test_endpoint_mae,full_mse_gain_vs_base_%,endpoint_mse_gain_vs_base_%,val_improves_base,elapsed_sec
Electricity,720,SharedSparse,321,10,0.4284949404882276,8,1947344,2.775557561562892e-17,0.199930433405863,0.2113820003156427,0.3030516499479722,0.2889917343884952,0.3553258523345137,0.1975188360157866,5,0.2043043619376388,0.2959411284991572,0.2849636691039529,0.3531656278040014,3.3482691844316617,1.3938340807793916,1,119.95004296302795
Electricity,720,HorizonAdaptiveSparse,321,10,0.4284949404882276,8,1947344,2.775557561562892e-17,0.199930433405863,0.2113820003156427,0.3030516499479722,0.2889917343884952,0.3553258523345137,0.1979971881215752,5,0.2058058161147565,0.296707735269013,0.2882967629211571,0.3545223673293458,2.6379654807692265,0.2404814341173848,1,120.34205722808838
Weather,96,DenseFineTune,21,10,0.7585589014160443,32,1627232,0.0,0.4300292096276182,0.1826556628032299,0.2245786878333974,0.2321503206764486,0.2673029743097102,0.4214011286114585,3,0.177613377557519,0.2179544603359851,0.2275605225612506,0.2634633296596205,2.760541429883192,1.9770802391416675,1,45.052510499954224
Weather,96,SharedSparse,21,10,0.7585589014160443,32,1627232,0.0,0.4300292096276182,0.1826556628032299,0.2245786878333974,0.2321503206764486,0.2673029743097102,0.4174341340847662,2,0.1730616342989961,0.2167616726662703,0.2239823939609012,0.2627450584688665,5.252521798116456,3.518378390237582,1,39.52420330047608
Weather,96,HorizonAdaptiveSparse,21,10,0.7585589014160443,32,1627232,0.0,0.4300292096276182,0.1826556628032299,0.2245786878333974,0.2321503206764486,0.2673029743097102,0.4161504710994983,3,0.174887295500157,0.2166059933772363,0.2244624442639416,0.2617021556625465,4.25301202484018,3.311594138705377,1,47.01743221282959
Weather,192,DenseFineTune,21,10,0.7655677655677655,32,1676480,8.326672684688674e-17,0.5031239883469689,0.2276976374316248,0.26209182261475,0.3174964342451292,0.3314209033171333,0.500356696957507,1,0.2246902723469634,0.2581960844449861,0.3135837529234578,0.3298054816641919,1.3207713169902695,1.2323544139870637,1,30.46236205101013
Weather,192,SharedSparse,21,10,0.7655677655677655,32,1676480,8.326672684688674e-17,0.5031239883469689,0.2276976374316248,0.26209182261475,0.3174964342451292,0.3314209033171333,0.4953034660283884,1,0.2231640266724914,0.2572999001083209,0.3108700002931796,0.3286877415765356,1.9910662272439423,2.087089251161023,1,31.87282705307007
Weather,192,HorizonAdaptiveSparse,21,10,0.7655677655677655,32,1676480,8.326672684688674e-17,0.5031239883469689,0.2276976374316248,0.26209182261475,0.3174964342451292,0.3314209033171333,0.4936512291773873,2,0.2226457414755107,0.2572601303006667,0.3120182960130801,0.3297841938950264,2.218686154629609,1.725417246046808,1,39.32284736633301
Weather,336,DenseFineTune,21,10,0.7814407814407813,32,1750352,5.551115123125783e-17,0.5963546700629323,0.281852746452689,0.3008946211442532,0.3820647581028417,0.3683641229857672,0.5963544309875745,0,0.2818520212032913,0.3008939005059857,0.3820650083575201,0.3683641600816311,0.0002573150011244,-6.550059201143885e-05,1,23.144097328186035
Weather,336,SharedSparse,21,10,0.7814407814407813,32,1750352,5.551115123125783e-17,0.5963546700629323,0.281852746452689,0.3008946211442532,0.3820647581028417,0.3683641229857672,0.5889890744316304,2,0.2783756507134627,0.2997000267263273,0.3831365176142325,0.3693301941204198,1.2336568591180954,-0.2805177626726803,1,38.82983231544495
